강수분석
[검색조건]
자료구분 : 일
자료형태 : 기본
지역/지점 : 서울
기간 : 20241001~20241031

날짜,지점,강수량(mm)
2024-10-01,108,2.5
2024-10-02,108,
2024-10-03,108,
2024-10-04,108,
2024-10-05,108,
2024-10-06,108,0
2024-10-07,108,
2024-10-08,108,
2024-10-09,108,
2024-10-10,108,0
2024-10-11,108,
2024-10-12,108,
2024-10-13,108,
2024-10-14,108,0
2024-10-15,108,0.5
2024-10-16,108,
2024-10-17,108,
2024-10-18,108,47.1
2024-10-19,108,1
2024-10-20,108,
2024-10-21,108,0
2024-10-22,108,20.6
2024-10-23,108,2.3
2024-10-24,108,
2024-10-25,108,
2024-10-26,108,
2024-10-27,108,0
2024-10-28,108,0
2024-10-29,108,0
2024-10-30,108,
2024-10-31,108,
